time,vx,vy,vz,px,py,pz
7.301058,-0.9520250258598184,0.8446304394195473,-0.17768130615371236,-0.014923411186684917,0.013238649634964003,-0.002804704378270868
7.301683,-0.9518630680978324,0.8445413973623987,-0.17761111723838424,-0.015518325604245521,0.013766488008315023,-0.0029157113265447575
7.302309,-0.9516990687295013,0.8444536588529661,-0.17754911355789899,-0.016114089221270625,0.014295115998757367,-0.003026857071632084
7.302935,-0.9515384846350434,0.8443637926004679,-0.1774920318523826,-0.016709752312651753,0.014823687732924898,-0.0031379670835715995
7.303562,-0.9513919410051758,0.844264690016575,-0.1774366203097266,-0.01730627505966257,0.015353041693565796,-0.0032492198445059042
7.304188,-0.9512670188478012,0.8441546066602057,-0.17738427429371553,-0.017901768213460886,0.015881482477334723,-0.003360262400213694
7.304813,-0.9511622645140528,0.8440290200536618,-0.17733711963285473,-0.018496244628782472,0.01640900061486853,-0.003471098099984285
7.305439,-0.9510751714517781,0.843890845347208,-0.17729527265641462,-0.019091617686110878,0.016937276284055523,-0.0035820849406671246
7.306066,-0.9510016023190455,0.8437417388108736,-0.17726064329923555,-0.01968789569076549,0.017466302354290447,-0.0036932273640158516
7.306691,-0.9509327789575522,0.8435870533401506,-0.17723351633109546,-0.02028222867761342,0.017993544262627562,-0.0038039983117226857
7.307316,-0.9508687825799619,0.8434246404969674,-0.17721528830708375,-0.0208765216667262,0.018520684662938436,-0.00391475786691467
7.307941,-0.9508062477976683,0.8432516481711324,-0.17720273244733334,-0.021470775571599203,0.019047716943044916,-0.0040255095746941525
7.308567,-0.9507439060597974,0.8430662130180853,-0.17719407521863603,-0.02206594125679307,0.019575476392394625,-0.0041364330657811
7.309192,-0.9506757070687164,0.8428767410186873,-0.17719216043362507,-0.022660113573711324,0.020102274355531573,-0.004247178166052173
7.309817,-0.9505921095655065,0.8426898385713348,-0.17720165182603606,-0.023254233642189225,0.02062895550463818,-0.004357929198443344
7.310444,-0.9504886788227509,0.8425125925453999,-0.17722255228646167,-0.02385019004381166,0.02115721090016465,-0.004469047738727062
7.323492,-0.9498180490253152,0.8402524527196208,-0.1795954773500997,-0.0362434159474935,0.03212082490324984,-0.006812409527191074
7.324212,-0.9496693246772824,0.8400911965507277,-0.17966997218487277,-0.03692717786126141,0.032725690564766596,-0.006941771907164232
7.324838,-0.9495248923894698,0.8399542388668017,-0.17973303890600928,-0.03752158044389681,0.03325150191829685,-0.007054284789519316
