time,px,py,pz,vx,vy,vz
15.64354,-2.279813534704674e-297,-2.7210762317398478e-297,6.692278512585668e-297,2.6137784145238682e-301,3.119680715342749e-301,-7.672615700320521e-301
15.644236,-6.108740763628258e-298,-7.291100366207113e-298,1.7931902731984306e-297,7.003596787560057e-302,8.359157652684034e-302,-2.055870779724696e-301
15.644863,-1.6368318351109152e-298,-1.9536440739888814e-298,4.804837918574748e-298,1.8766077372957666e-302,2.239829105548356e-302,-5.508688077195455e-302
15.645489,-4.3858768281423305e-299,-5.234772498156356e-299,1.2874521889188844e-298,5.0283542963718054e-303,6.00160282950364e-303,-1.476048233726974e-302
15.646116,-1.1751919249745268e-299,-1.4026527898453876e-299,3.449717070255927e-299,1.3473432101626147e-303,1.608124317783068e-303,-3.955058550706206e-303
15.646742,-3.148916658268988e-300,-3.758396089904506e-300,9.243487227908957e-300,3.610194546715112e-304,4.308955282299373e-304,-1.059754537967739e-303
15.647369,-8.437495110374304e-301,-1.0070590006930026e-300,2.476784454853199e-300,9.673485246241363e-305,1.1545808629056694e-304,-2.839603172354254e-304
15.647994,-2.26081955997925e-301,-2.698405933320767e-301,6.636522650543199e-301,2.592002054138432e-305,3.0936894946764144e-305,-7.608692284448423e-305
15.648619,-6.057846571668143e-302,-7.230355496520128e-302,1.7782505379049403e-301,6.94524721714784e-306,8.289514400389955e-306,-2.0387425554052968e-305
15.649246,-1.6231947801357616e-302,-1.9373675383867605e-302,4.764807026312771e-302,1.8609730200747604e-306,2.221168255977796e-306,-5.4627931474059275e-306
15.649873,-4.349336456592449e-303,-5.191159660961667e-303,1.2767259457572116e-302,4.986461206010738e-307,5.951601243531662e-307,-1.4637507267518937e-306
15.650498,-1.1654009638363915e-303,-1.390966767618873e-303,3.4209761939321154e-303,1.336117992621472e-307,1.5947264358149418e-307,-3.9221074865046274e-307
15.651124,-3.122681862085372e-304,-3.727083493828957e-304,9.166476296923143e-304,3.580116672831863e-308,4.273055772765329e-308,-1.050925328647373e-307
15.65175,-8.367199199576009e-305,-9.986688174981953e-305,2.4561494421121705e-304,9.592891841791e-309,1.1449616201936435e-308,-2.815945381896881e-308
15.653508,-2.241983831123665e-305,-2.6759245095919323e-305,6.58123131133048e-305,2.570407120712913e-309,3.067914816539064e-309,-7.545301438335633e-309
15.654135,-6.007376398155614e-306,-7.170116714941651e-306,1.7634352711042678e-305,6.88738377871473e-310,8.22045137194035e-310,-2.02175703269498e-309
15.65476,-1.6096713405390525e-306,-1.9212266086581627e-306,4.7251096463070777e-306,1.84546856149955e-310,2.20266287688743e-310,-5.41728058535096e-310
15.655387,-4.313100516472205e-307,-5.147910178539099e-307,1.2660890669178448e-306,4.944917142571e-311,5.902016239375e-311,-1.45155567488254e-310
15.656013,-1.1556915748380672e-307,-1.3793781059911228e-307,3.392474768541537e-307,1.3249862965434e-311,1.581440176586e-311,-3.889430949878e-311
15.656639,-3.0966656377489937e-308,-3.6960317746406577e-308,9.090106972654045e-308,3.55028938891e-312,4.2374553554e-312,-1.0421696787547e-311
15.657265,-8.29748895016304e-309,-9.903485360410157e-309,2.4356863473392113e-308,9.512969891e-313,1.135422518973e-312,-2.792484693295e-312
15.657891,-2.223305029732706e-309,-2.653630386968035e-309,6.526400624834995e-309,2.5489921027e-313,3.04235487688e-313,-7.48243872493e-313
15.658516,-5.95732671043524e-310,-7.11037980506336e-310,1.74874343580309e-309,6.830002422e-314,8.1519637333e-314,-2.0049130227e-313
15.659143,-1.5962605697488e-310,-1.9052201550201e-310,4.68574299994295e-310,1.8300932764e-314,2.184311673e-314,-5.372147205e-314
15.659769,-4.27716647145e-311,-5.105021023645e-311,1.25554080787336e-310,4.903719197e-315,5.852844347e-315,-1.4394622246e-314
15.660395,-1.1460630783715e-311,-1.3678859938147e-311,3.3642107991295e-311,1.313947343e-315,1.56826461e-315,-3.857026655e-315
15.66102,-3.070866164253e-312,-3.665238758877e-312,9.014373909636e-312,3.5207106e-316,4.20215154e-316,-1.033486977e-315
15.661646,-8.22835948274e-313,-9.82097573944e-313,2.415393738224e-312,9.433714e-317,1.1259629e-316,-2.76921947e-316
15.662273,-2.20478184836e-313,-2.63152200495e-313,6.4720267532e-313,2.5277555e-317,3.017008e-317,-7.4200997e-317
15.663917,-5.907694005e-314,-7.0511405855e-314,1.7341740036e-313,6.773097e-318,8.084045e-318,-1.988209e-317
15.664544,-1.582961529e-314,-1.889347057e-314,4.646704332e-314,1.814846e-318,2.166117e-318,-5.32739e-318
15.665169,-4.241531806e-315,-5.062489193e-315,1.2450804306e-314,4.8629e-319,5.8041e-319,-1.42747e-318
15.665796,-1.1365148e-315,-1.356489627e-315,3.336182305e-315,1.303e-319,1.5552e-319,-3.82486e-319
15.666421,-3.0452816e-316,-3.63470227e-316,8.9392718e-316,3.4916e-320,4.1674e-320,-1.0249e-319
15.667047,-8.159806e-317,-9.7391534e-317,2.3952702e-316,9.353e-321,1.1166e-320,-2.7465e-320
15.667673,-2.186413e-317,-2.609598e-317,6.418106e-317,2.505e-321,2.994e-321,-7.357e-321
15.668298,-5.85847e-318,-6.992393e-318,1.719726e-317,6.7e-322,8e-322,-1.97e-321
15.668923,-1.569775e-318,-1.873606e-318,4.60799e-318,1.83e-322,2.17e-322,-5.3e-322
15.669549,-4.2062e-319,-5.0203e-319,1.23471e-318,4.4e-323,5.4e-323,-1.43e-322
15.670175,-1.12706e-319,-1.3452e-319,3.3084e-319,1e-323,1.5e-323,-3.5e-323
15.670801,-3.0197e-320,-3.604e-320,8.865e-320,0.0,0.0,-1e-323
15.671428,-8.093e-321,-9.66e-321,2.3755e-320,0.0,0.0,0.0
15.672054,-2.17e-321,-2.59e-321,6.364e-321,0.0,0.0,0.0
15.672681,-5.83e-322,-6.9e-322,1.705e-321,0.0,0.0,0.0
15.674335,-1.6e-322,-1.9e-322,4.55e-322,0.0,0.0,0.0
15.67496,-4.4e-323,-5e-323,1.24e-322,0.0,0.0,0.0
15.675587,-1e-323,-1.5e-323,3.5e-323,0.0,0.0,0.0
15.68934,-5e-324,-5e-324,1e-323,0.0,0.0,0.0
15.689998,0.0,0.0,5e-324,0.0,0.0,0.0
15.690623,0.0,0.0,0.0,0.0,0.0,0.0
15.691249,0.0,0.0,0.0,0.0,0.0,0.0
15.691874,0.0,0.0,0.0,0.0,0.0,0.0
15.6925,0.0,0.0,0.0,0.0,0.0,0.0
15.693125,0.0,0.0,0.0,0.0,0.0,0.0
15.693752,0.0,0.0,0.0,0.0,0.0,0.0
15.694377,0.0,0.0,0.0,0.0,0.0,0.0
15.695004,0.0,0.0,0.0,0.0,0.0,0.0
15.695629,0.0,0.0,0.0,0.0,0.0,0.0
15.696254,0.0,0.0,0.0,0.0,0.0,0.0
15.696881,0.0,0.0,0.0,0.0,0.0,0.0
15.697506,0.0,0.0,0.0,0.0,0.0,0.0
15.698133,0.0,0.0,0.0,0.0,0.0,0.0
15.699775,0.0,0.0,0.0,0.0,0.0,0.0
15.7004,0.0,0.0,0.0,0.0,0.0,0.0
15.701027,0.0,0.0,0.0,0.0,0.0,0.0
15.701653,0.0,0.0,0.0,0.0,0.0,0.0
15.702278,0.0,0.0,0.0,0.0,0.0,0.0
15.702904,0.0,0.0,0.0,0.0,0.0,0.0
15.70353,0.0,0.0,0.0,0.0,0.0,0.0
15.704156,0.0,0.0,0.0,0.0,0.0,0.0
15.704782,0.0,0.0,0.0,0.0,0.0,0.0
15.705408,0.0,0.0,0.0,0.0,0.0,0.0
15.706041,0.0,0.0,0.0,0.0,0.0,0.0
15.706667,0.0,0.0,0.0,0.0,0.0,0.0
15.707292,0.0,0.0,0.0,0.0,0.0,0.0
15.707918,0.0,0.0,0.0,0.0,0.0,0.0
15.708543,0.0,0.0,0.0,0.0,0.0,0.0
15.710164,0.0,0.0,0.0,0.0,0.0,0.0
15.710789,0.0,0.0,0.0,0.0,0.0,0.0
15.711414,0.0,0.0,0.0,0.0,0.0,0.0
15.712043,0.0,0.0,0.0,0.0,0.0,0.0
15.712668,0.0,0.0,0.0,0.0,0.0,0.0
15.713293,0.0,0.0,0.0,0.0,0.0,0.0
15.71392,0.0,0.0,0.0,0.0,0.0,0.0
15.714546,0.0,0.0,0.0,0.0,0.0,0.0
15.715172,0.0,0.0,0.0,0.0,0.0,0.0
15.715797,0.0,0.0,0.0,0.0,0.0,0.0
15.716422,0.0,0.0,0.0,0.0,0.0,0.0
15.717047,0.0,0.0,0.0,0.0,0.0,0.0
15.717672,0.0,0.0,0.0,0.0,0.0,0.0
15.718299,0.0,0.0,0.0,0.0,0.0,0.0
15.718926,0.0,0.0,0.0,0.0,0.0,0.0
15.720615,0.0,0.0,0.0,0.0,0.0,0.0
15.72124,0.0,0.0,0.0,0.0,0.0,0.0
15.735076,0.0,0.0,0.0,0.0,0.0,0.0
15.73581,0.0,0.0,0.0,0.0,0.0,0.0
15.736436,0.0,0.0,0.0,0.0,0.0,0.0
15.737062,0.0,0.0,0.0,0.0,0.0,0.0
15.737689,0.0,0.0,0.0,0.0,0.0,0.0
15.738314,0.0,0.0,0.0,0.0,0.0,0.0
15.738939,0.0,0.0,0.0,0.0,0.0,0.0
15.739565,0.0,0.0,0.0,0.0,0.0,0.0
15.740191,0.0,0.0,0.0,0.0,0.0,0.0
15.740817,0.0,0.0,0.0,0.0,0.0,0.0
15.741469,0.0,0.0,0.0,0.0,0.0,0.0
15.742096,0.0,0.0,0.0,0.0,0.0,0.0
15.742722,0.0,0.0,0.0,0.0,0.0,0.0
15.743349,0.0,0.0,0.0,0.0,0.0,0.0
15.745054,0.0,0.0,0.0,0.0,0.0,0.0
15.745679,0.0,0.0,0.0,0.0,0.0,0.0
15.746304,0.0,0.0,0.0,0.0,0.0,0.0
15.74693,0.0,0.0,0.0,0.0,0.0,0.0
15.747556,0.0,0.0,0.0,0.0,0.0,0.0
15.748181,0.0,0.0,0.0,0.0,0.0,0.0
15.748807,0.0,0.0,0.0,0.0,0.0,0.0
15.749432,0.0,0.0,0.0,0.0,0.0,0.0
15.750059,0.0,0.0,0.0,0.0,0.0,0.0
15.750685,0.0,0.0,0.0,0.0,0.0,0.0
15.751311,0.0,0.0,0.0,0.0,0.0,0.0
15.751936,0.0,0.0,0.0,0.0,0.0,0.0
15.752563,0.0,0.0,0.0,0.0,0.0,0.0
15.753189,0.0,0.0,0.0,0.0,0.0,0.0
15.753815,0.0,0.0,0.0,0.0,0.0,0.0
15.755531,0.0,0.0,0.0,0.0,0.0,0.0
15.756157,0.0,0.0,0.0,0.0,0.0,0.0
15.756784,0.0,0.0,0.0,0.0,0.0,0.0
15.757411,0.0,0.0,0.0,0.0,0.0,0.0
15.758066,0.0,0.0,0.0,0.0,0.0,0.0
15.758692,0.0,0.0,0.0,0.0,0.0,0.0
15.759317,0.0,0.0,0.0,0.0,0.0,0.0
15.759943,0.0,0.0,0.0,0.0,0.0,0.0
15.760568,0.0,0.0,0.0,0.0,0.0,0.0
15.761194,0.0,0.0,0.0,0.0,0.0,0.0
15.761821,0.0,0.0,0.0,0.0,0.0,0.0
15.762448,0.0,0.0,0.0,0.0,0.0,0.0
15.763075,0.0,0.0,0.0,0.0,0.0,0.0
15.763702,0.0,0.0,0.0,0.0,0.0,0.0
15.764329,0.0,0.0,0.0,0.0,0.0,0.0
15.765995,0.0,0.0,0.0,0.0,0.0,0.0
15.76662,0.0,0.0,0.0,0.0,0.0,0.0
15.767246,0.0,0.0,0.0,0.0,0.0,0.0
15.781022,0.0,0.0,0.0,0.0,0.0,0.0
15.781706,0.0,0.0,0.0,0.0,0.0,0.0
15.782331,0.0,0.0,0.0,0.0,0.0,0.0
15.782958,0.0,0.0,0.0,0.0,0.0,0.0
15.783583,0.0,0.0,0.0,0.0,0.0,0.0
15.78421,0.0,0.0,0.0,0.0,0.0,0.0
15.784835,0.0,0.0,0.0,0.0,0.0,0.0
15.785553,0.0,0.0,0.0,0.0,0.0,0.0
15.786178,0.0,0.0,0.0,0.0,0.0,0.0
15.786804,0.0,0.0,0.0,0.0,0.0,0.0
15.78743,0.0,0.0,0.0,0.0,0.0,0.0
15.788057,0.0,0.0,0.0,0.0,0.0,0.0
15.788682,0.0,0.0,0.0,0.0,0.0,0.0
15.789307,0.0,0.0,0.0,0.0,0.0,0.0
15.791006,0.0,0.0,0.0,0.0,0.0,0.0
15.791632,0.0,0.0,0.0,0.0,0.0,0.0
15.792257,0.0,0.0,0.0,0.0,0.0,0.0
15.792883,0.0,0.0,0.0,0.0,0.0,0.0
15.801272,0.0,0.0,0.0,0.0,0.0,0.0
15.801898,0.0,0.0,0.0,0.0,0.0,0.0
15.802523,0.0,0.0,0.0,0.0,0.0,0.0
15.803149,0.0,0.0,0.0,0.0,0.0,0.0
15.803774,0.0,0.0,0.0,0.0,0.0,0.0
15.804399,0.0,0.0,0.0,0.0,0.0,0.0
15.805024,0.0,0.0,0.0,0.0,0.0,0.0
15.80565,0.0,0.0,0.0,0.0,0.0,0.0
15.806276,0.0,0.0,0.0,0.0,0.0,0.0
15.806901,0.0,0.0,0.0,0.0,0.0,0.0
15.807527,0.0,0.0,0.0,0.0,0.0,0.0
15.808152,0.0,0.0,0.0,0.0,0.0,0.0
15.808777,0.0,0.0,0.0,0.0,0.0,0.0
15.809403,0.0,0.0,0.0,0.0,0.0,0.0
15.810029,0.0,0.0,0.0,0.0,0.0,0.0
15.811702,0.0,0.0,0.0,0.0,0.0,0.0
15.812328,0.0,0.0,0.0,0.0,0.0,0.0
15.812955,0.0,0.0,0.0,0.0,0.0,0.0
15.81358,0.0,0.0,0.0,0.0,0.0,0.0
15.814206,0.0,0.0,0.0,0.0,0.0,0.0
15.814831,0.0,0.0,0.0,0.0,0.0,0.0
15.815456,0.0,0.0,0.0,0.0,0.0,0.0
15.816083,0.0,0.0,0.0,0.0,0.0,0.0
15.81671,0.0,0.0,0.0,0.0,0.0,0.0
15.817335,0.0,0.0,0.0,0.0,0.0,0.0
15.817962,0.0,0.0,0.0,0.0,0.0,0.0
15.818588,0.0,0.0,0.0,0.0,0.0,0.0
15.819213,0.0,0.0,0.0,0.0,0.0,0.0
15.819838,0.0,0.0,0.0,0.0,0.0,0.0
15.833781,0.0,0.0,0.0,0.0,0.0,0.0
15.834523,0.0,0.0,0.0,0.0,0.0,0.0
15.835149,0.0,0.0,0.0,0.0,0.0,0.0
15.835775,0.0,0.0,0.0,0.0,0.0,0.0
15.836401,0.0,0.0,0.0,0.0,0.0,0.0
15.837026,0.0,0.0,0.0,0.0,0.0,0.0
15.837651,0.0,0.0,0.0,0.0,0.0,0.0
