index,x,y,z,yaw,distance
44.8120,0.0001,-0.0007,-0.0000,-0.0047,0.0190
44.9120,-0.0002,0.0012,-0.0008,-0.0143,-0.0001
45.0120,0.0003,0.0001,-0.0000,-0.0023,0.0094
45.1120,0.0003,-0.0001,-0.0008,-0.0023,0.0046
45.2120,-0.0007,0.0004,0.0005,0.0072,0.0070
45.3120,-0.0002,-0.0009,0.0003,-0.0071,0.0022
45.4120,0.0003,0.0004,-0.0000,-0.0047,0.0070
45.5120,0.0003,0.0001,-0.0008,0.0144,0.0142
45.6120,0.0001,0.0007,-0.0011,0.0120,0.0190
45.7120,0.0001,-0.0001,-0.0008,0.0096,0.0118
45.8120,-0.0005,0.0001,-0.0000,0.0025,-0.0001
45.9120,0.0003,0.0001,-0.0000,-0.0023,0.0046
46.0120,0.0006,-0.0001,0.0008,0.0049,-0.0025
46.1120,0.0006,-0.0001,0.0003,0.0049,-0.0145
46.2120,0.0003,0.0004,-0.0013,-0.0191,-0.0025
46.3120,0.0009,0.0001,-0.0000,-0.0239,-0.0193
46.4120,-0.0005,0.0004,-0.0000,-0.0167,0.0046
46.5120,0.0001,0.0012,-0.0008,-0.0311,-0.0049
46.6120,-0.0015,-0.0004,0.0003,-0.0167,0.0142
46.7120,-0.0002,-0.0004,-0.0003,0.0216,-0.0097
46.8120,0.0001,-0.0007,-0.0000,0.0096,0.0094
46.9120,0.0001,-0.0004,-0.0003,0.0025,-0.0121
47.0120,-0.0002,-0.0001,-0.0005,0.0192,-0.0097
47.1120,-0.0002,0.0001,-0.0005,0.0001,0.0142
47.2120,0.0006,0.0007,-0.0000,0.0240,-0.0049
47.3120,-0.0002,0.0004,0.0005,0.0096,-0.0025
47.4120,0.0003,0.0001,-0.0000,-0.0023,-0.0025
47.5120,-0.0002,0.0001,0.0003,0.0144,-0.0049
47.6120,-0.0007,0.0009,0.0008,0.0144,0.0046
47.7120,-0.0002,-0.0004,0.0005,0.0192,-0.0049
47.8120,0.0003,0.0001,0.0008,-0.0119,-0.0600
47.9120,-0.0005,0.0001,-0.0003,-0.0095,-0.0289
48.0120,-0.0005,0.0001,-0.0003,0.0001,-0.0289
48.1120,-0.0005,-0.0007,-0.0016,-0.0095,0.0094
48.2120,0.0001,-0.0004,-0.0011,-0.0023,-0.0025
48.3120,0.0001,-0.0004,-0.0005,0.0049,0.0046
48.4120,0.0003,0.0001,-0.0005,0.0025,-0.0049
48.5120,0.0001,-0.0007,0.0003,-0.0071,-0.0097
48.6120,-0.0002,-0.0001,-0.0008,0.0312,-0.0001
48.7120,-0.0002,-0.0004,-0.0005,-0.0311,-0.0169
48.8120,-0.0005,-0.0004,-0.0008,0.0144,-0.0001
48.9120,0.0003,0.0004,-0.0008,-0.0143,-0.0169
49.0120,-0.0002,0.0004,0.0003,-0.0071,0.0286
49.1120,-0.0005,0.0009,0.0008,0.0072,0.0022
49.2120,0.0003,-0.0004,-0.0000,0.0072,0.0238
49.3120,0.0009,-0.0001,0.0008,-0.0095,0.0166
49.4120,-0.0002,-0.0004,-0.0003,0.0001,0.0094
49.5120,-0.0005,-0.0007,0.0016,0.0312,0.0094
49.6120,0.0001,0.0012,0.0021,-0.0167,0.0358
49.7120,-0.0005,0.0009,0.0008,0.0168,0.0070
49.8120,0.0003,0.0001,0.0019,0.0001,0.0046
49.9120,0.0001,0.0007,0.0016,0.0001,-0.0001
50.0120,0.0003,-0.0004,0.0005,0.0025,0.0046
50.1120,0.0006,0.0001,-0.0000,0.0288,0.0238
50.2120,0.0006,0.0009,0.0005,-0.0095,-0.0097
50.3120,0.0001,0.0007,-0.0000,0.0096,0.0142
50.4120,0.0003,0.0004,0.0005,0.0192,-0.0241
50.5120,-0.0007,-0.0001,0.0005,-0.0191,-0.0001
50.6120,0.0001,0.0004,0.0005,0.0168,-0.0097
50.7120,-0.0002,-0.0007,0.0008,-0.0263,0.0046
50.8120,-0.0002,-0.0004,-0.0000,0.0049,-0.0073
50.9120,-0.0002,0.0001,-0.0011,-0.0047,-0.0001
51.0120,0.0003,0.0007,-0.0005,-0.0071,-0.0073
51.1120,0.0003,-0.0004,-0.0005,-0.0143,-0.0025
51.2120,0.0009,-0.0007,0.0008,0.0120,0.0022
51.3120,0.0003,0.0004,-0.0000,0.0001,0.0022
51.4120,0.0003,0.0004,-0.0003,0.0120,0.0022
51.5120,-0.0002,0.0009,0.0011,-0.0239,-0.0121
51.6120,-0.0002,-0.0001,0.0003,-0.0023,0.0142
51.7120,-0.0005,0.0001,-0.0008,-0.0095,-0.0025
51.8120,0.0001,0.0004,-0.0005,0.0072,-0.0049
51.9120,0.0001,-0.0004,0.0003,0.0072,0.0118
52.0120,0.0001,-0.0001,-0.0003,-0.0071,-0.0025
52.1120,-0.0002,0.0004,-0.0000,0.0168,-0.0001
52.2120,0.0001,-0.0004,-0.0000,0.0001,-0.0049
52.3120,0.0003,0.0012,0.0003,-0.0023,-0.0025
52.4120,0.0006,0.0007,-0.0003,0.0072,-0.0073
52.5120,-0.0002,0.0009,-0.0000,-0.0191,-0.0073
52.6120,0.0001,0.0001,-0.0005,0.0025,-0.0145
52.7120,0.0003,0.0007,-0.0003,-0.0095,0.0142
52.8120,0.0006,-0.0009,0.0003,-0.0095,-0.0073
52.9120,0.0009,0.0001,0.0008,0.0120,0.0022
53.0120,-0.0002,0.0001,0.0003,0.0168,0.0022
53.1120,-0.0002,0.0001,-0.0005,0.0072,0.0190
53.2120,-0.0013,0.0004,-0.0008,-0.0071,-0.0025
53.3120,0.0003,0.0004,-0.0013,0.0001,0.0118
53.4120,0.0003,0.0004,-0.0005,-0.0023,0.0070
53.5120,0.0006,0.0004,-0.0003,-0.0047,-0.0025
53.6120,0.0003,0.0001,-0.0008,-0.0095,-0.0169
53.7120,-0.0002,0.0001,-0.0000,-0.0215,-0.0001
53.8120,-0.0002,0.0004,0.0005,-0.0239,-0.0001
53.9120,0.0003,0.0007,-0.0000,-0.0023,-0.0001
54.0120,-0.0005,-0.0012,-0.0008,-0.0119,0.0046
54.1120,-0.0005,0.0004,-0.0008,0.0096,-0.0049
54.2120,-0.0002,0.0004,-0.0003,-0.0143,0.0190
54.3120,0.0001,0.0015,-0.0000,-0.0071,0.0070
54.4120,0.0003,0.0007,0.0003,0.0312,0.0142
54.5120,-0.0007,0.0004,-0.0008,0.0072,0.0046
54.6120,0.0006,0.0004,-0.0003,-0.0023,-0.0097
54.7120,-0.0002,0.0015,-0.0003,0.0096,0.0262
54.8120,-0.0002,0.0015,0.0003,0.0096,-0.0073
54.9120,-0.0002,0.0015,-0.0008,0.0072,-0.0001
55.0120,-0.0010,0.0007,0.0008,0.0120,-0.0049
55.1120,-0.0002,0.0004,0.0003,-0.0191,0.0094
55.2120,-0.0002,0.0009,0.0013,0.0025,-0.0097
55.3120,-0.0002,-0.0001,0.0005,0.0264,0.0142
55.4120,0.0006,0.0001,-0.0003,0.0120,-0.0145
55.5120,0.0003,-0.0001,0.0005,-0.0071,0.0142
55.6120,-0.0005,0.0009,-0.0005,0.0072,-0.0073
55.7120,0.0009,0.0015,0.0005,-0.0047,-0.0121
55.8120,-0.0005,0.0009,-0.0000,0.0168,-0.0097
55.9120,0.0009,-0.0004,-0.0000,-0.0023,-0.0073
56.0120,0.0009,0.0004,-0.0000,0.0168,-0.0265
56.1120,-0.0005,0.0004,0.0003,0.0144,-0.0193
56.2120,0.0001,0.0001,0.0003,-0.0071,-0.0001
56.3120,-0.0002,-0.0001,0.0003,-0.0071,-0.0001
56.4120,0.0003,0.0007,-0.0011,0.0072,-0.0121
56.5120,-0.0005,0.0004,-0.0003,-0.0095,-0.0001
56.6120,0.0003,-0.0001,-0.0003,-0.0119,-0.0121
56.7120,0.0006,-0.0004,0.0008,0.0096,0.0166
56.8120,-0.0002,0.0009,0.0003,0.0001,-0.0073
56.9120,0.0001,0.0009,0.0008,0.0144,-0.0049
57.0120,0.0003,-0.0007,0.0005,0.0049,-0.0073
57.1120,0.0001,0.0009,-0.0008,0.0192,-0.0169
57.2120,-0.0002,-0.0007,-0.0005,-0.0095,-0.0073
