Timestamp(us)	AccelX(g)	AccelY(g)	AccelZ(g)	GyroX(dps)	GyroY(dps)	GyroZ(dps)
3322388	-0.0015	-0.0854	0.9854	1.4038	-0.1831	0.8545
3334423	0.0142	-0.0894	0.9844	0.6104	0.4272	0.061
3346379	0.0063	-0.0864	1.0063	-0.7324	0.9766	-0.6714
3358419	0.0029	-0.0864	1.0298	-0.9766	0.4272	-1.0376
3370392	-0.0073	-0.0942	1.0386	1.2817	-1.3428	-1.0986
3383547	-0.0034	-0.0933	0.9966	2.8076	-1.6479	-2.4414
3396388	-0.0059	-0.0811	0.9844	2.3804	-1.0376	-3.7231
3408419	-0.0005	-0.0488	0.9697	2.2583	0.3052	-3.54
3422392	-0.002	-0.021	1.0005	0.061	1.2207	-1.77
3434423	-0.0112	-0.0615	1.0103	-0.061	-0.3052	0
3446388	-0.0127	-0.0493	1.022	-0.061	-2.9907	-1.3428
3458419	-0.0063	-0.041	0.9956	-1.4648	-1.77	0.3052
3470392	-0.0073	-0.063	1.0166	-1.4648	-1.6479	0.6104
3482423	-0.0073	-0.0439	1.0059	2.0142	-1.0376	0.7935
3494388	-0.0137	-0.0146	1.0137	4.0894	0.7935	2.9297
3506422	-0.0186	-0.0024	1.0161	3.2959	0.3052	5.5542
3517735	-0.0098	-0.0288	1.0288	0.6714	-1.2817	8.3618
3532406	0.0059	-0.1157	1.0249	-0.3052	-2.8687	7.019
3544406	-0.0024	-0.1055	0.9795	0.5493	-3.0518	3.1738
3556406	0.0127	-0.0874	0.9663	-0.2441	-0.6714	1.3428
3568410	0.0103	-0.0898	0.9878	0.1221	-0.4883	1.5259
3580406	0.0176	-0.1108	0.981	0.2441	-0.061	0.4883
3592391	0.0195	-0.1211	0.9932	-1.709	0.1221	-0.9766
3604410	0.0161	-0.1221	0.9912	-2.4414	0.2441	-2.0752
3616410	0.0122	-0.104	0.9941	-1.77	0.5493	-2.8076
3628406	0.0054	-0.103	1.0195	-0.7324	0.8545	-2.9297
3640406	-0.0039	-0.0977	1.0293	0.5493	-0.9155	-3.7231
3654410	-0.001	-0.0708	0.9927	0.7935	-1.3428	-3.9673
3666410	-0.0059	-0.0537	0.9888	0.7324	-0.4883	-3.2349
3678406	0.0015	-0.0532	1.0068	1.5869	0.7935	-2.1973
3690406	-0.0059	-0.0488	1.0205	1.2817	-0.3662	-1.5259
3702410	-0.0034	-0.0493	1.0063	0.3662	-1.709	-1.4648
3714442	-0.0083	-0.0498	1.002	0.1831	-1.9531	-1.3428
3726406	0.0054	-0.0498	0.9902	-0.6104	-1.5259	-1.3428
3739528	-0.0054	-0.0522	1.0005	-0.6714	-1.0986	-1.709
3751406	-0.0093	-0.0112	0.9927	0.3662	-0.9766	-0.6104
3763395	-0.0093	-0.0127	0.9966	0.5493	-0.2441	3.2959
3777524	-0.0054	-0.0767	1.019	0.3662	-1.6479	4.8218
3789406	0.0005	-0.0947	0.9868	0.3052	-1.9531	4.2114
3801411	0.0098	-0.1069	0.981	0.1831	-0.6714	3.2349
3813432	0.0127	-0.1196	0.9961	1.2207	0.5493	2.1973
3825402	0.002	-0.1167	1.0225	1.0376	0.4883	0.3052
3837392	-0.001	-0.1265	1.022	-0.2441	-1.2817	-1.3428
3849411	0.0049	-0.1177	0.998	-0.3052	-1.6479	-3.9062
3861442	-0.0098	-0.0786	1.0063	0.1221	-0.6714	-4.9438
3873407	-0.0024	-0.0469	1.0112	1.0986	-1.4038	-3.2959
3887396	0.002	-0.0752	0.9941	3.2959	-1.77	-1.2817
3899407	0.0005	-0.0957	0.9985	4.7607	-1.8311	-2.5635
3911402	-0.0024	-0.0635	0.9785	4.2114	-0.9766	-3.8452
3923415	-0.0083	-0.0347	0.9907	1.709	0.4883	-3.2959
3935396	-0.0103	-0.0293	1.0322	-0.6104	-0.4272	-1.8921
3947411	-0.0078	-0.041	1.0371	0.4883	-1.77	-0.3662
3959392	-0.0088	-0.0283	1.0244	2.6245	-2.9297	0.6714
3971407	-0.0068	-0.0474	0.9917	2.3804	-3.3569	2.4414
3983392	-0.0049	-0.083	0.9785	2.1362	-2.5635	2.6855
3995411	0.0015	-0.0981	0.9619	3.2959	-1.8311	1.9531
4009392	-0.001	-0.0718	0.9712	1.2817	1.1597	0.7324
4021462	0.0034	-0.0605	1.019	-0.6714	0.9155	1.2817
4033396	-0.0039	-0.0635	1.0425	1.0376	-0.4883	1.77
4045407	-0.0107	-0.043	1.0347	2.6855	-1.77	1.8921
4057392	-0.0078	-0.0225	1.0137	2.8076	-2.2583	3.3569
4069407	-0.0073	-0.0254	1.0137	3.8452	-1.4038	3.9673
4081396	-0.0015	-0.0288	1.0132	4.3335	-1.8921	4.8218
4093407	0.0005	-0.0322	1.0078	4.6997	-2.1362	6.2866
4106520	-0.0059	-0.0723	1.0073	4.2725	-2.9907	6.5918
4119411	-0.0103	-0.0732	0.9824	3.7842	-3.7231	5.6152
4133392	-0.0098	-0.0566	0.9614	6.0425	-1.4038	5.3101
4145407	-0.0005	-0.0464	0.9785	6.7139	0.7324	5.9814
4157392	0.0117	-0.0425	1.0225	5.7983	0.9155	6.6528
4169411	0.019	-0.0591	1.0449	6.897	-1.4648	8.0566
4181396	0.0205	-0.0928	1.022	6.958	-2.5024	7.7515
4193407	0.0195	-0.1299	1.0039	2.9907	-3.418	6.1035
4205392	0.0107	-0.1592	1	-1.0986	-4.5776	2.1362
4217411	0.0068	-0.1255	0.9722	-0.9766	-3.9673	-1.5259
4229396	0.0024	-0.0811	0.9683	0.7935	-2.4414	-1.709
4243407	0.0122	-0.0562	0.9697	3.2959	-0.6714	1.77
4255396	0.0215	-0.1294	0.9927	4.9438	-0.4883	4.2114
4267411	0.0332	-0.1919	0.9824	6.2256	-1.0376	0.6714
4279392	0.0327	-0.1636	0.9536	7.1411	-0.1221	-4.5166
4291407	0.0171	-0.1143	0.9634	5.188	2.4414	-7.3242
4303396	0.0044	-0.0654	1.0015	0	2.3193	-8.1787
4315411	-0.0142	-0.0459	1.0425	-0.7935	1.4038	-6.897
4327435	-0.0239	-0.0474	1.0293	2.6855	-0.6104	-5.9204
4339407	-0.0083	-0.0176	1.0034	6.0425	1.77	-5.188
4351396	-0.001	0	1.0425	8.606	2.0142	-4.5166
4365411	-0.0103	0.0547	1.0283	6.2866	0.1831	-5.249
4377392	0.0107	0.0474	1.0342	1.4648	-2.0752	-2.3804
4389407	-0.0068	0.0132	1.0244	-1.0986	-2.7466	-1.4038
4401396	-0.0107	0	1	-0.9155	-2.7466	-1.9531
4413407	-0.0225	0.0459	0.9854	1.77	0.3052	-0.5493
4425392	-0.0317	0.0786	1.0312	3.418	1.3428	3.9673
4438443	-0.0205	0.0361	1.041	-0.6104	-3.479	7.7515
4450396	0.0083	-0.0327	1.0078	-0.6714	-5.4321	8.2397
4462411	0.0176	-0.0532	0.9712	1.0376	-3.2349	6.7139
4475520	0.0205	-0.061	0.9648	0.7324	-1.2817	7.2021
4489415	0.0127	-0.125	0.9849	-3.2349	-1.0986	7.1411
4501400	0.0083	-0.1694	0.9741	-7.0801	-2.0752	2.7466
4513411	0.019	-0.1543	0.98	-8.1787	-1.8311	-1.5869
4525396	-0.0029	-0.0762	0.9585	-7.019	0.1831	-4.0283
4537415	0.0361	-0.0601	1.0049	-6.7139	1.4648	-1.2817
4549400	0.0107	-0.0786	1.0278	-2.5635	1.0986	2.3193
4561411	0.0166	-0.1821	1.0161	-3.54	-0.7935	3.6621
4573396	0.02	-0.2573	0.9922	-8.9111	-1.1597	-1.5869
4585411	0.0229	-0.2568	1.001	-13.6108	-1.2817	-8.7891
4599400	0.021	-0.1602	0.9863	-13.6108	-1.8311	-14.9536
4611411	-0.0029	-0.0591	0.9731	-7.8125	0.4883	-14.8926
4623396	-0.0112	0.0171	0.9839	-5.7373	0.8545	-11.9629
4635489	-0.0029	0.0098	0.9751	-5.188	0.8545	-7.2021
4647396	-0.0029	-0.0161	0.957	-8.5449	1.4648	-4.5166
4659415	-0.0054	-0.0508	0.9653	-13.9771	2.8076	-3.9673
4671396	-0.0078	-0.0542	0.9775	-13.2446	3.3569	-4.5776
4683415	-0.0073	-0.02	0.9707	-10.498	4.8218	-3.2959
4695400	0.0024	-0.0293	0.9941	-6.958	6.5918	-1.1597
4707411	-0.0054	-0.0259	1.002	-3.9062	7.2632	0.1221
4729921	-0.0063	-0.0083	1.043	1.6479	9.3384	4.5776
4742407	-0.0142	-0.0391	1.0747	7.9346	11.1694	11.0474
4754401	-0.0327	-0.0884	1.0938	8.3618	7.5684	12.3901
4766452	-0.0444	-0.1157	1.0854	4.2725	5.127	11.5356
4778401	-0.0537	-0.124	1.1074	1.77	2.6245	10.376
4790411	-0.0493	-0.123	1.1099	2.1973	-1.77	9.5215
4802397	-0.0405	-0.1255	1.0728	7.4463	-4.4556	9.4604
4814411	-0.0444	-0.1216	1.0405	10.0708	-3.6011	10.7422
4827548	-0.0361	-0.166	1.0649	10.6201	-5.4932	12.085
4841459	-0.0107	-0.2207	0.9717	9.0332	-6.897	11.4136
4853401	0.0171	-0.2979	0.9746	2.8076	-2.0142	8.728
4865415	0.0186	-0.3452	1.0244	-2.0142	-1.8311	2.1973
4877397	0.0127	-0.3213	1.0444	-0.7935	-4.0894	-5.249
