Timestamp(us)	AccelX(g)	AccelY(g)	AccelZ(g)	GyroX(dps)	GyroY(dps)	GyroZ(dps)
5031529	-0.0161	0.0024	1.0049	0.7935	-0.7935	-0.1221
5044478	-0.0151	0.0049	1.0063	0.6104	-0.9766	-0.1221
5057404	-0.0132	0.0088	1.0029	0.7324	-0.7324	-0.1221
5069408	-0.0127	0.0024	1.0093	0.6714	-0.7935	0.1831
5083404	-0.0122	0.0068	1.0093	0.8545	-0.6714	-0.1831
5095409	-0.0137	0.0024	1.0044	0.6104	-0.8545	0
5107399	-0.0151	0.0049	1.0039	0.6714	-0.7324	-0.2441
5119408	-0.0132	0.0063	1.0054	0.8545	-0.8545	-0.1221
5131399	-0.0132	0.0059	1.0088	0.4883	-0.6104	0.061
5143404	-0.0132	0.0063	1.0088	0.7324	-0.8545	-0.1831
5155408	-0.0107	0.0078	1.0059	0.6104	-0.8545	-0.061
5167408	-0.0122	0.0034	1.0098	0.8545	-0.7324	-0.1221
5179404	-0.0132	0.0073	1.0063	0.9766	-0.6714	-0.1221
5191404	-0.0166	0.0039	1.0068	0.7935	-0.7935	0.061
5205408	-0.0142	0.0073	1.0029	0.6104	-0.6714	0.061
5217408	-0.0142	0.0059	1.0083	0.6104	-0.7935	-0.061
5229404	-0.0161	0.0034	1.0098	0.7324	-0.8545	-0.1221
5241404	-0.0161	0.001	1.0112	0.7324	-0.6714	0
5253408	-0.0107	0.0044	1.0049	0.6714	-0.6714	-0.061
5265408	-0.0107	0.0093	1.0029	0.8545	-0.6104	-0.1221
5277399	-0.0142	0.0078	1.0098	0.7935	-0.8545	-0.2441
5289404	-0.0112	0.0093	1.0034	0.7935	-0.6104	0
5301403	-0.0151	0.0078	1.0083	0.6714	-0.8545	-0.061
5313408	-0.0156	0.0054	1.0068	0.7324	-0.7935	-0.061
5327404	-0.0146	0.0049	1.0039	0.6104	-0.7935	-0.1831
5339404	-0.0137	0.0083	1.0059	0.7935	-0.8545	-0.1831
5351464	-0.0151	0.0049	1.0083	0.6104	-0.9155	-0.061
5363399	-0.0112	0.0049	1.0068	0.7935	-0.7324	-0.1221
5375404	-0.0142	0.0039	1.0068	0.6714	-0.6714	-0.1831
5387408	-0.0122	0.0068	1.0083	0.7935	-0.7935	-0.1831
5400533	-0.0117	0.0054	1.0078	0.9766	-0.7935	0.061
5413404	-0.0132	0.0088	1.0068	0.6714	-0.6714	-0.2441
5425404	-0.0117	0.0059	1.0073	0.7324	-0.7935	-0.1831
5439408	-0.0142	0.0044	1.0078	0.7324	-0.7324	-0.2441
5451403	-0.0151	0.0054	1.0083	0.7324	-0.8545	0.061
5463404	-0.0151	0.0088	1.0073	0.6104	-0.6714	0
5475404	-0.0195	0.0044	1.0068	0.7935	-0.6104	-0.1221
5487408	-0.0132	0.0083	1.0049	0.8545	-0.6714	-0.1221
5499408	-0.0137	0.0073	1.0049	0.4883	-0.6104	-0.1221
5511404	-0.0107	0.0093	1.0068	0.7935	-0.8545	-0.2441
5523404	-0.0117	0.0068	1.0068	0.6714	-0.7324	-0.1221
5535399	-0.0098	0.0039	1.0083	0.7324	-0.8545	-0.061
5547408	-0.0176	0.0068	1.0083	0.7324	-0.6104	0.061
5561404	-0.0181	0.0029	1.0068	0.7324	-0.7935	-0.2441
5573408	-0.0151	0.0024	1.0088	0.6714	-0.7935	0
5585408	-0.0107	0.0059	1.0063	0.9766	-0.9155	-0.2441
5597404	-0.0117	0.0078	1.0088	0.8545	-0.7324	-0.1831
5609404	-0.0112	0.0088	1.0039	0.6714	-0.7324	-0.1831
5621399	-0.0132	0.0078	1.0059	0.7324	-0.7324	-0.1221
5633408	-0.0122	0.0093	1.0005	0.7935	-0.8545	-0.061
5645404	-0.0117	0.0083	1.0083	0.6714	-0.6714	-0.2441
5657407	-0.0156	0.0107	1.0073	0.7324	-0.6714	0
5669408	-0.0137	0.0068	1.0068	0.7324	-0.7935	-0.3662
5683525	-0.0151	0.0049	1.0083	0.9155	-0.5493	-0.2441
5695408	-0.0117	0.0063	1.0107	0.6714	-0.7935	-0.1221
5707399	-0.0146	0.0063	1.0034	0.6714	-0.6104	-0.2441
5719408	-0.0146	0.0049	1.0078	0.6104	-0.6714	-0.061
5731408	-0.0127	0.0039	1.0127	0.6104	-0.7324	-0.1221
5743404	-0.0156	0.002	1.0171	0.6104	-0.7324	-0.061
5755408	-0.0142	0.0059	1.0049	0.6104	-0.6714	-0.1221
5768525	-0.0156	0.0044	1.0059	0.8545	-0.8545	-0.2441
5780412	-0.0146	0.0098	1.0068	0.7324	-0.7324	-0.1831
5794404	-0.0156	0.0073	1.0117	0.7324	-0.7935	-0.1221
5806408	-0.0112	0.0049	1.0034	0.9155	-0.9155	0
5818408	-0.0146	0.0098	1.0093	0.8545	-0.7935	-0.061
5830408	-0.0151	0.0088	1.0068	0.8545	-0.7324	-0.1221
5842404	-0.0156	0.0098	1.0137	0.7324	-0.9155	-0.1831
5854399	-0.0142	0.0063	1.0093	0.8545	-0.6714	-0.061
5866453	-0.0151	0.0098	1.0063	0.7324	-0.7935	-0.061
5878399	-0.0093	0.0059	1.0088	0.7935	-0.7935	0.061
5890408	-0.0146	0.0044	1.0044	0.7935	-0.7324	-0.061
5902408	-0.0146	0.0049	1.0078	0.7935	-0.5493	-0.1831
5916404	-0.0161	0.0049	1.001	0.7935	-0.9155	-0.2441
5928404	-0.0132	0.0063	1.0044	0.7935	-0.7324	-0.061
5940403	-0.0117	0.0049	1.0063	0.7324	-0.7935	-0.1831
5952408	-0.0137	0.0054	1.0059	0.7935	-0.7935	0.061
5964408	-0.0142	0.0068	1.0117	0.7935	-0.6714	-0.061
5976404	-0.0156	0.0078	1.0054	0.6104	-0.6104	-0.061
5988404	-0.0127	0.0098	0.9995	0.6104	-0.8545	-0.2441
6000392	-0.0117	0.0103	1.0073	0.6714	-0.8545	-0.1831
6012408	-0.0132	0.0059	1.0024	0.7935	-0.5493	-0.1831
6024404	-0.0063	0.0088	1.0063	0.7324	-0.6714	-0.1221
6038408	-0.0083	0.0039	1.0137	0.7935	-0.7935	-0.2441
6050433	-0.0112	0.0059	1.0088	0.6714	-0.8545	-0.061
6062404	-0.0156	0.0044	1.0098	0.7935	-0.7935	-0.1831
6074404	-0.0166	0.0054	1.0054	0.9766	-0.7935	-0.1831
6086404	-0.0156	-0.0005	1.0132	0.7324	-0.6714	-0.3662
6098408	-0.0122	0.0068	1.0034	0.6714	-0.6104	-0.061
6110399	-0.0093	0.0049	1.0068	0.7935	-0.9155	0.1221
