time,type,distance,
111.321894,L,55.11,FALSE
111.288612,R,57.02,FALSE
111.287932,U,60.55,FALSE
111.337973,R,69.52,FALSE
111.337749,U,62.92,FALSE
111.371427,L,55,FALSE
111.387328,R,82.17,FALSE
111.387395,U,60.36,FALSE
111.420959,L,55.02,FALSE
111.436761,R,97.2,FALSE
111.437189,U,62.9,FALSE
111.470491,L,54.99,FALSE
111.485976,R,104.73,FALSE
111.48691,U,62.97,FALSE
111.520017,L,55.02,FALSE
111.534968,R,104.8,FALSE
111.53663,U,62.97,FALSE
111.569546,L,55.07,FALSE
111.583965,R,104.77,FALSE
111.586357,U,62.88,FALSE
111.619075,L,55.24,FALSE
111.633033,R,107.31,FALSE
111.636,U,60.41,FALSE
111.668607,L,55.02,FALSE
111.682027,R,107.29,FALSE
111.685797,U,62.97,FALSE
111.718139,L,54.99,FALSE
111.731019,R,107.33,FALSE
111.767663,L,55.07,FALSE
111.73552,U,63.06,FALSE
111.780019,R,107.22,FALSE
111.785265,U,62.99,FALSE
111.817194,L,54.97,FALSE
111.82901,R,107.31,FALSE
111.834985,U,62.97,FALSE
111.866721,L,55,FALSE
111.878007,R,107.29,FALSE
111.884785,U,65.41,FALSE
111.916248,L,55.02,FALSE
111.927006,R,107.34,FALSE
111.934499,U,65.54,FALSE
111.965777,L,55.02,FALSE
111.973579,R,23.5,TRUE
111.98422,U,65.54,FALSE
112.015306,L,55.09,FALSE
112.024733,R,92.14,FALSE
112.033939,U,65.58,FALSE
112.06484,L,54.99,FALSE
112.072197,R,39.43,TRUE
112.08366,U,65.53,FALSE
112.114364,L,55.09,FALSE
112.123085,R,104.91,FALSE
112.13338,U,65.54,FALSE
112.163973,L,57.75,FALSE
112.170696,R,57.02,FALSE
112.183101,U,65.54,FALSE
112.213499,L,57.56,FALSE
112.21984,R,62.07,FALSE
112.232821,U,65.46,FALSE
112.26303,L,57.53,FALSE
112.269053,R,69.6,FALSE
112.282537,U,65.54,FALSE
112.312559,L,57.54,FALSE
112.318267,R,77.16,FALSE
112.332262,U,65.46,FALSE
112.362086,L,57.63,FALSE
112.367487,R,84.69,FALSE
112.381976,U,65.53,FALSE
112.411613,L,57.56,FALSE
112.416775,R,94.75,FALSE
112.431692,U,65.53,FALSE
112.461217,L,60.22,FALSE
112.465774,R,94.8,FALSE
112.510815,L,62.74,FALSE
112.48141,U,65.44,FALSE
112.560419,L,65.28,FALSE
112.563694,R,92.26,FALSE
112.531124,U,65.49,FALSE
112.563697,R,92.36,FALSE
112.580845,U,65.61,FALSE
112.610024,L,67.74,FALSE
112.612686,R,92.22,FALSE
112.630489,U,62.99,FALSE
112.659701,L,72.82,FALSE
112.661679,R,92.22,FALSE
112.680214,U,62.87,FALSE
112.709228,L,72.78,FALSE
112.710673,R,92.22,FALSE
112.729932,U,62.99,FALSE
112.758757,L,72.84,FALSE
112.759667,R,92.22,FALSE
112.779658,U,63.07,FALSE
112.808213,L,70.49,FALSE
112.808667,R,92.19,FALSE
112.829373,U,62.97,FALSE
112.857597,L,65.32,FALSE
112.857663,R,92.17,FALSE
112.879094,U,62.99,FALSE
112.907052,L,62.74,FALSE
112.906662,R,92.1,FALSE
112.956511,L,60.19,FALSE
112.955682,R,92.21,FALSE
112.928744,U,60.31,FALSE
112.978392,U,57.72,FALSE
113.005968,L,57.56,FALSE
113.004679,R,92.24,FALSE
113.02811,U,57.84,FALSE
113.055497,L,57.66,FALSE
113.053679,R,92.14,FALSE
113.105028,L,57.65,FALSE
113.102674,R,92.24,FALSE
113.077836,U,57.73,FALSE
113.127555,U,57.8,FALSE
113.15463,L,60.2,FALSE
113.151677,R,92.14,FALSE
113.204163,L,60.2,FALSE
113.200674,R,92.22,FALSE
113.177348,U,60.55,FALSE
113.227144,U,62.87,FALSE
113.253694,L,60.19,FALSE
113.249676,R,92.1,FALSE
113.276861,U,62.99,FALSE
113.303225,L,60.19,FALSE
113.298674,R,92.1,FALSE
113.326587,U,62.87,FALSE
113.347597,R,89.67,FALSE
113.352756,L,60.24,FALSE
113.40199,L,50.04,FALSE
113.396591,R,89.7,FALSE
113.376307,U,62.92,FALSE
113.445591,R,89.72,FALSE
113.426031,U,62.85,FALSE
113.451304,L,42.34,TRUE
113.475756,U,62.9,FALSE
113.501421,L,62.74,FALSE
113.494587,R,89.65,FALSE
113.550951,L,62.73,FALSE
113.543582,R,89.72,FALSE
113.52548,U,62.87,FALSE
113.575197,U,62.93,FALSE
113.592579,R,89.61,FALSE
113.600506,L,62.71,FALSE
113.624919,U,62.92,FALSE
113.650028,L,62.73,FALSE
113.641648,R,92.15,FALSE
113.674644,U,63.12,FALSE
113.699553,L,62.74,FALSE
113.690569,R,89.77,FALSE
113.724364,U,62.87,FALSE
113.749081,L,62.69,FALSE
113.739564,R,89.75,FALSE
113.774086,U,62.88,FALSE
113.788563,R,89.61,FALSE
113.798612,L,62.66,FALSE
113.837555,R,89.7,FALSE
113.823808,U,62.87,FALSE
113.848064,L,60.29,FALSE
113.873531,U,62.87,FALSE
113.897589,L,60.19,FALSE
113.886552,R,89.79,FALSE
113.947117,L,60.2,FALSE
113.935616,R,92.24,FALSE
113.923252,U,62.85,FALSE
113.984608,R,92.22,FALSE
113.972977,U,62.78,FALSE
113.996654,L,60.27,FALSE
114.022693,U,62.99,FALSE
114.046176,L,60.2,FALSE
114.033603,R,92.15,FALSE
114.095631,L,57.65,FALSE
114.08259,R,92.22,FALSE
114.072415,U,62.87,FALSE
114.122129,U,62.9,FALSE
114.145161,L,57.58,FALSE
114.131661,R,94.8,FALSE
114.194686,L,57.66,FALSE
114.180724,R,97.24,FALSE
114.22157,U,63.07,FALSE
114.229721,R,97.24,FALSE
114.22157,U,63.09,FALSE
114.244366,L,62.62,FALSE
114.278717,R,97.2,FALSE
114.271288,U,62.87,FALSE
114.293973,L,65.18,FALSE
114.321005,U,62.95,FALSE
114.327642,R,94.8,FALSE
114.343576,L,67.86,FALSE
114.393179,L,70.36,FALSE
114.376633,R,94.75,FALSE
114.370727,U,62.88,FALSE
114.425625,R,94.75,FALSE
114.420442,U,62.85,FALSE
114.44249,L,62.64,FALSE
114.492308,L,72.89,FALSE
114.474547,R,92.31,FALSE
114.470158,U,62.9,FALSE
114.541765,L,70.36,FALSE
114.523612,R,94.75,FALSE
114.519877,U,62.81,FALSE
114.571003,R,39.43,TRUE
114.569595,U,62.9,FALSE
114.591151,L,65.16,FALSE
114.640608,L,62.69,FALSE
114.620286,R,49.49,TRUE
114.619315,U,63.11,FALSE
114.669645,R,62.07,FALSE
114.669034,U,62.87,FALSE
114.690062,L,60.22,FALSE
114.719002,R,74.62,FALSE
114.718748,U,62.97,FALSE
114.739522,L,57.53,FALSE
114.768361,R,87.23,FALSE
114.768467,U,63.09,FALSE
114.788977,L,55.04,FALSE
114.838504,L,55.12,FALSE
114.817647,R,97.13,FALSE
114.818184,U,62.97,FALSE
114.86664,R,97.13,FALSE
114.86798,U,65.53,FALSE
114.888039,L,55.02,FALSE
114.937637,L,57.66,FALSE
114.915634,R,97.24,FALSE
114.917632,U,62.83,FALSE
114.987094,L,55.11,FALSE
114.964662,R,97.2,FALSE
114.966756,U,42.56,TRUE
115.013655,R,97.2,FALSE
115.017142,U,65.53,FALSE
115.036626,L,55.04,FALSE
115.086182,L,55.12,FALSE
115.062724,R,99.71,FALSE
115.06686,U,65.49,FALSE
115.111723,R,99.78,FALSE
115.116606,U,65.53,FALSE
115.135717,L,55.02,FALSE
115.16074,R,99.78,FALSE
115.185246,L,55.12,FALSE
115.166333,U,65.65,FALSE
115.209741,R,99.76,FALSE
115.215461,U,45.14,TRUE
115.234706,L,52.65,FALSE
115.258732,R,99.78,FALSE
115.265775,U,65.53,FALSE
115.284307,L,55.02,FALSE
115.30773,R,99.78,FALSE
115.315502,U,65.44,FALSE
115.333765,L,52.51,FALSE
115.356732,R,99.62,FALSE
115.36522,U,65.53,FALSE
115.383297,L,52.48,FALSE
115.405751,R,99.78,FALSE
115.414944,U,65.56,FALSE
115.432833,L,52.58,FALSE
115.454748,R,99.79,FALSE
115.482358,L,52.57,FALSE
115.464671,U,65.41,FALSE
115.53189,L,52.55,FALSE
115.503747,R,99.67,FALSE
115.514461,U,68.07,FALSE
115.552816,R,102.19,FALSE
115.581423,L,52.55,FALSE
115.564109,U,65.6,FALSE
115.630953,L,52.57,FALSE
115.601741,R,99.86,FALSE
115.613824,U,65.53,FALSE
115.650737,R,99.71,FALSE
115.66354,U,65.49,FALSE
115.68049,L,52.48,FALSE
115.697984,R,39.43,TRUE
115.730024,L,52.57,FALSE
115.748798,R,102.28,FALSE
115.713258,U,65.47,FALSE
115.762985,U,65.39,FALSE
115.779558,L,52.51,FALSE
115.796267,R,49.4,TRUE
115.829017,L,49.99,TRUE
115.812707,U,65.44,FALSE
115.845476,R,56.94,FALSE
115.862426,U,65.54,FALSE
115.878551,L,49.94,TRUE
115.894685,R,64.56,FALSE
115.928078,L,50.03,FALSE
115.912152,U,65.46,FALSE
115.977612,L,50.04,FALSE
115.944043,R,77.19,FALSE
115.961875,U,65.44,FALSE
115.993767,R,102.19,FALSE
116.011528,U,62.97,FALSE
116.027145,L,49.99,TRUE
116.042758,R,102.28,FALSE
116.076675,L,50.03,FALSE
116.091751,R,102.28,FALSE
116.110971,U,63,FALSE
116.110971,U,63.02,FALSE
116.126214,L,50.1,FALSE
116.175744,L,50.03,FALSE
116.140817,R,104.91,FALSE
116.160686,U,62.99,FALSE
116.18981,R,104.7,FALSE
116.210404,U,62.99,FALSE
116.225281,L,49.96,TRUE
116.238806,R,104.7,FALSE
116.274812,L,50.03,FALSE
116.26013,U,62.88,FALSE
116.287798,R,104.82,FALSE
116.30985,U,62.97,FALSE
116.32435,L,50.01,FALSE
116.33679,R,104.89,FALSE
116.373877,L,50.03,FALSE
116.385787,R,104.84,FALSE
116.359576,U,62.88,FALSE
116.423408,L,50.04,FALSE
116.409301,U,62.87,FALSE
116.434782,R,104.7,FALSE
116.472942,L,50.04,FALSE
116.481498,R,26.02,TRUE
116.459097,U,65.56,FALSE
116.522475,L,50.03,FALSE
116.533022,R,107.33,FALSE
116.508816,U,65.46,FALSE
116.558538,U,65.47,FALSE
116.57201,L,49.92,TRUE
116.579591,R,23.45,TRUE
116.621541,L,50.03,FALSE
116.63124,R,107.31,FALSE
116.608264,U,65.46,FALSE
116.657984,U,65.49,FALSE
116.671076,L,50.01,FALSE
116.68023,R,107.33,FALSE
116.72053,L,47.49,TRUE
116.707708,U,65.47,FALSE
116.729297,R,109.88,FALSE
116.757431,U,65.46,FALSE
116.770066,L,47.55,TRUE
116.777414,R,79.64,FALSE
116.819593,L,47.5,TRUE
116.827429,R,114.84,FALSE
116.807155,U,65.44,FALSE
116.869128,L,47.49,TRUE
116.856881,U,65.44,FALSE
116.876862,R,130.03,FALSE
116.918684,L,47.49,TRUE
116.925925,R,132.45,FALSE
116.906605,U,65.58,FALSE
116.968214,L,47.49,TRUE
116.974917,R,132.45,FALSE
116.956325,U,65.41,FALSE
117.006074,U,65.46,FALSE
117.017819,L,49.94,TRUE
117.023915,R,132.45,FALSE
117.067345,L,50.04,FALSE
117.072941,R,132.45,FALSE
117.055798,U,65.39,FALSE
117.116945,L,52.58,FALSE
117.105449,U,63.02,FALSE
117.121967,R,132.56,FALSE
117.155157,U,62.97,FALSE
117.166477,L,52.46,FALSE
117.170957,R,132.45,FALSE
117.20488,U,62.85,FALSE
117.216077,L,55.04,FALSE
117.219952,R,132.45,FALSE
117.265676,L,57.72,FALSE
117.268875,R,129.93,FALSE
117.254606,U,62.83,FALSE
117.304327,U,62.87,FALSE
117.315352,L,62.85,FALSE
117.317868,R,129.95,FALSE
117.364953,L,65.28,FALSE
117.366793,R,127.42,FALSE
117.354047,U,62.85,FALSE
117.414555,L,67.81,FALSE
117.415717,R,124.9,FALSE
117.403767,U,62.87,FALSE
117.453489,U,62.87,FALSE
117.46423,L,72.77,FALSE
117.464637,R,122.38,FALSE
117.513898,L,77.99,FALSE
117.513557,R,119.87,FALSE
117.50321,U,62.97,FALSE
117.563496,L,80.53,FALSE
117.562552,R,119.87,FALSE
117.552934,U,62.99,FALSE
117.602654,U,62.88,FALSE
117.613318,L,90.69,FALSE
117.611475,R,117.3,FALSE
117.652376,U,62.87,FALSE
117.662844,L,90.65,FALSE
117.660465,R,117.38,FALSE
117.709386,R,114.84,FALSE
117.702093,U,62.88,FALSE
117.71252,L,95.89,FALSE
117.762121,L,98.32,FALSE
117.758381,R,114.84,FALSE
117.751811,U,63.09,FALSE
117.812971,L,144.05,FALSE
117.807305,R,112.34,FALSE
117.801531,U,62.85,FALSE
117.851254,U,62.87,FALSE
117.862575,L,146.59,FALSE
117.85623,R,109.92,FALSE
117.912105,L,146.62,FALSE
117.90522,R,109.82,FALSE
117.900972,U,62.87,FALSE
117.961635,L,146.6,FALSE
117.954217,R,109.82,FALSE
117.950692,U,62.87,FALSE
118.001397,R,46.97,TRUE
118.00041,U,62.9,FALSE
118.01124,L,149.08,FALSE
118.060843,L,151.72,FALSE
118.050756,R,59.55,FALSE
118.05013,U,62.88,FALSE
118.100117,R,72.11,FALSE
118.099852,U,63,FALSE
118.110446,L,154.35,FALSE
118.160113,L,159.31,FALSE
118.149475,R,84.69,FALSE
118.149495,U,60.53,FALSE
118.19891,R,99.71,FALSE
118.19892,U,50.22,FALSE
118.209933,L,169.5,FALSE
118.24805,R,104.72,FALSE
118.249008,U,62.97,FALSE
118.311711,L,263.57,FALSE
118.296899,R,99.76,FALSE
118.298731,U,62.9,FALSE
118.311713,L,263.63,FALSE
118.361308,L,265.99,FALSE
118.345753,R,94.7,FALSE
118.348524,U,65.54,FALSE
118.39475,R,94.61,FALSE
118.398247,U,65.56,FALSE
118.40944,L,217.87,FALSE
118.45896,L,217.75,FALSE
118.443673,R,92.15,FALSE
118.447925,U,62.81,FALSE
118.508443,L,215.31,FALSE
118.492669,R,92.1,FALSE
118.497569,U,60.43,FALSE
118.541587,R,89.67,FALSE
118.546921,U,47.68,TRUE
118.557976,L,215.1,FALSE
118.605149,L,133.89,FALSE
118.590587,R,89.84,FALSE
118.596566,U,45.12,TRUE
118.639513,R,87.16,FALSE
118.646292,U,45.1,TRUE
118.654604,L,131.45,FALSE
118.688504,R,87.21,FALSE
118.696088,U,47.69,TRUE
118.70413,L,131.29,FALSE
118.73743,R,84.81,FALSE
118.745806,U,47.69,TRUE
118.753586,L,128.88,FALSE
118.786425,R,84.57,FALSE
118.795971,U,63.02,FALSE
118.803115,L,128.93,FALSE
118.83542,R,84.59,FALSE
118.850362,L,50.04,FALSE
118.845696,U,62.92,FALSE
