time,accel x,accel y,accel z,gyro x,gyro y,gyro z
38.815304,0.048447266,-0.134415656,1.049808502,-16.291297913,18.717109680,-72.130836487
38.815931,0.046005860,-0.132340461,1.048831940,-16.131080627,18.488227844,-71.734107971
38.816556,0.046860352,-0.129654914,1.049442291,-15.993751526,18.816291809,-71.978248596
38.817182,0.050278321,-0.131119758,1.051273346,-15.780128479,18.823921204,-71.779884338
38.817808,0.048203126,-0.130631477,1.047000885,-15.528358459,18.938362122,-71.612037659
38.818434,0.051376954,-0.128800422,1.044193268,-15.223182678,19.007026672,-71.367897034
38.819059,0.045395508,-0.131119758,1.045902252,-14.788307190,19.060432434,-71.222938538
38.819685,0.043564454,-0.131119758,1.045536041,-14.940895081,19.167243958,-71.093238831
38.820312,0.042343751,-0.126359016,1.047122955,-14.773048401,19.136726379,-71.177162170
38.820938,0.046494141,-0.127701789,1.047855377,-14.277137756,19.754707336,-70.879615784
38.821563,0.044541016,-0.126725227,1.044559479,-14.422096252,19.495307922,-70.833839417
38.823315,0.040146485,-0.123673461,1.042728424,-13.796485901,19.869148254,-70.719398499
38.823940,0.038803712,-0.122818969,1.039554596,-13.651527405,19.907295227,-70.459999084
38.824565,0.034409180,-0.120377563,1.035404205,-13.277687073,19.953071594,-70.376075745
38.825191,0.035874024,-0.121598266,1.034305573,-13.353981018,19.899665833,-70.185340881
38.825816,0.035019532,-0.121232055,1.034549713,-13.109840393,20.044624329,-70.116676331
38.826442,0.035385743,-0.119523071,1.036502838,-12.697853088,20.075141907,-69.803871155
38.827068,0.031235352,-0.120621704,1.034793854,-12.629188538,20.151435852,-69.826759338
38.827694,0.031479493,-0.114640258,1.032596588,-12.545265198,20.036994934,-69.918312073
38.828320,0.032333985,-0.116715454,1.029666901,-12.095130920,20.151435852,-69.445289612
38.828946,0.027329102,-0.114151977,1.030033112,-11.881507874,19.815742493,-69.430030823
38.829573,0.028793946,-0.112320922,1.030765533,-12.041725159,19.945442200,-69.262184143
38.830198,0.027817383,-0.111588500,1.031009674,-11.500038147,20.090400696,-69.170631409
38.830823,0.025864258,-0.111100219,1.032108307,-11.263526917,20.181953430,-69.155372620
38.831448,0.026596680,-0.106705688,1.030399323,-11.118568420,19.968330383,-69.163002014
38.832073,0.024643555,-0.104264282,1.028079987,-10.889686584,19.968330383,-69.063819885
38.833813,0.031967774,-0.098649047,1.026737213,-10.698951721,20.105659485,-68.751014709
38.834439,0.031601563,-0.095231079,1.027591705,-10.439552307,19.960700989,-68.682350159
38.835066,0.030136719,-0.097306274,1.029666901,-10.363258362,20.189582825,-68.804420471
38.835693,0.031967774,-0.094376586,1.031742096,-10.180152893,20.014106750,-68.606056213
38.836319,0.039536133,-0.091813110,1.027957916,-10.157264709,19.876777649,-68.384803772
38.836946,0.045761719,-0.092545532,1.026493073,-10.027565002,19.983589172,-68.163551331
38.837571,0.043808594,-0.093277954,1.026126862,-9.798683167,19.731819153,-68.087257385
38.838196,0.044052735,-0.091935180,1.026493073,-9.516395569,19.853889465,-68.110145569
38.838821,0.043930665,-0.089005493,1.028202057,-9.424842834,20.136177063,-67.972816467
38.839446,0.043442383,-0.082169555,1.030155182,-9.058631897,20.159065247,-68.094886780
38.840073,0.042954102,-0.074479125,1.033206940,-9.127296448,20.265876770,-67.957557678
38.840698,0.044052735,-0.075333618,1.032474518,-9.119667053,20.471870422,-67.858375549
38.841324,0.048569337,-0.074357055,1.033939362,-8.829750061,20.204841614,-67.904151917
38.841951,0.052475587,-0.068497680,1.033451080,-8.852638245,20.593940735,-68.010963440
38.842578,0.054794922,-0.064347290,1.033573151,-8.776344299,20.647346497,-67.820228577
38.844333,0.057480469,-0.059830688,1.039432526,-8.448280334,20.738899231,-67.919410706
38.844960,0.057602540,-0.056534790,1.040653229,-8.547462463,20.906745911,-67.866004944
38.845585,0.065170899,-0.052628540,1.037601471,-8.486427307,21.410285950,-67.789710999
38.859517,0.108994141,0.029280640,0.987674713,-14.040626526,26.979743958,-68.445838928
38.860268,0.108505860,0.029646851,0.984134674,-14.818824768,26.911079407,-68.651832581
38.860895,0.108261719,0.028426148,0.979984283,-15.192665100,26.865303040,-68.758644104
38.861521,0.106796876,0.032088257,0.973026276,-15.581764221,26.865303040,-68.972267151
38.862257,0.108994141,0.032088257,0.967411041,-16.016639709,27.086555481,-69.033302307
38.862883,0.107529297,0.033675171,0.964359283,-16.352333069,27.078926086,-69.376625061
38.863509,0.108872071,0.034407593,0.959842682,-16.817726135,27.384101868,-69.117225647
38.864135,0.108627930,0.033919312,0.959232330,-17.176307678,27.056037903,-69.498695374
38.864760,0.106064454,0.032820679,0.952152252,-17.481483459,27.040779114,-69.658912659
38.865387,0.105942383,0.033186890,0.949344635,-17.847694397,26.956855774,-69.697059631
38.866012,0.107285157,0.033308960,0.948490143,-18.046058655,26.857673645,-69.964088440
38.866638,0.108872071,0.030745484,0.944217682,-18.641151428,26.758491516,-70.002235413
38.867265,0.105087891,0.028670289,0.938236237,-18.931068420,26.811897278,-70.559181213
38.867891,0.103745118,0.029768921,0.936771393,-19.205726624,26.605903625,-70.665992737
38.869627,0.097641602,0.025984742,0.930423737,-19.846595764,26.132881165,-71.207679749
38.870254,0.100449219,0.021712281,0.924442291,-19.869483948,25.942146301,-71.413673401
38.870880,0.101303712,0.017439820,0.920658112,-20.052589417,25.858222961,-71.375526428
38.871506,0.100693360,0.019881226,0.916019440,-20.258583069,25.659858704,-72.115577698
38.872132,0.097397462,0.012312866,0.915897369,-20.167030334,25.484382629,-72.115577698
38.872757,0.098129883,0.010481811,0.916507721,-20.350135803,24.973213196,-72.054542542
38.873384,0.101181641,0.011580444,0.914310455,-20.502723694,24.423896790,-72.291053772
38.874014,0.103867188,0.008284546,0.910282135,-20.434059143,24.515449524,-72.535194397
38.874639,0.103256837,0.004378296,0.912357330,-20.487464905,24.408638000,-72.565711975
38.875266,0.101914063,-0.002823853,0.911746979,-20.136512756,24.042427063,-72.634376526
38.875891,0.095444337,-0.003556275,0.914066315,-20.037330627,24.004280090,-72.664894104
38.876517,0.094223633,-0.002213501,0.911746979,-19.800819397,24.240791321,-73.282875061
38.877143,0.091782227,-0.002823853,0.909183502,-20.044960022,24.065315247,-73.511756897
