time,r00,r01,r02,r10,r11,r12,r20,r21,r22
4.880922317504882812e+01,9.972808361053466797e-01,-1.308747800067067146e-03,7.368963956832885742e-02,0.000000000000000000e+00,9.998427629470825195e-01,1.775747351348400116e-02,-7.370126247406005859e-02,-1.770917885005474091e-02,9.971235990524291992e-01
4.884759521484375000e+01,9.984806776046752930e-01,-8.065195288509130478e-04,5.509632080793380737e-02,-5.820766091346740723e-11,9.998928308486938477e-01,1.463678851723670959e-02,-5.510222166776657104e-02,-1.461455039680004120e-02,9.983736872673034668e-01
4.888594055175781250e+01,9.991970658302307129e-01,-7.610386237502098083e-04,4.004941135644912720e-02,8.731149137020111084e-11,9.998191595077514648e-01,1.899905689060688019e-02,-4.005663841962814331e-02,-1.898380927741527557e-02,9.990167021751403809e-01
4.890021896362304688e+01,9.993151426315307617e-01,-8.078315295279026031e-04,3.700027614831924438e-02,-2.619344741106033325e-10,9.997619390487670898e-01,2.182793058454990387e-02,-3.700909018516540527e-02,-2.181297726929187775e-02,9.990770220756530762e-01
4.892610168457031250e+01,9.994255900382995605e-01,-7.837867015041410923e-04,3.388466686010360718e-02,-6.984919309616088867e-10,9.997327327728271484e-01,2.312484942376613617e-02,-3.389373421669006348e-02,-2.311156131327152252e-02,9.991583228111267090e-01
4.896457672119140625e+01,9.991536140441894531e-01,-1.120555098168551922e-03,4.113214462995529175e-02,-1.164153218269348145e-10,9.996296167373657227e-01,2.723271399736404419e-02,-4.114740341901779175e-02,-2.720965072512626648e-02,9.987830519676208496e-01
4.900292205810546875e+01,9.978870749473571777e-01,-9.671468869782984257e-04,6.496582180261611938e-02,-7.566995918750762939e-10,9.998892545700073242e-01,1.488537434488534927e-02,-6.497301906347274780e-02,-1.485392171889543533e-02,9.977765083312988281e-01
4.901720046997070312e+01,9.974765777587890625e-01,-8.214624831452965736e-04,7.099156081676483154e-02,8.731149137020111084e-11,9.999330639839172363e-01,1.157049462199211121e-02,-7.099631428718566895e-02,-1.154129765927791595e-02,9.974097609519958496e-01
4.903263473510742188e+01,9.972186684608459473e-01,-9.077503345906734467e-04,7.452407479286193848e-02,3.783497959375381470e-10,9.999256730079650879e-01,1.217972300946712494e-02,-7.452960312366485596e-02,-1.214584894478321075e-02,9.971446990966796875e-01
4.907102966308593750e+01,9.967555403709411621e-01,-2.114292234182357788e-03,8.046445250511169434e-02,-1.164153218269348145e-10,9.996553063392639160e-01,2.626704052090644836e-02,-8.049222826957702637e-02,-2.618180960416793823e-02,9.964116215705871582e-01
4.910939407348632812e+01,9.979193806648254395e-01,-2.224406693130731583e-03,6.443819403648376465e-02,-1.164153218269348145e-10,9.994048476219177246e-01,3.449945524334907532e-02,-6.447657942771911621e-02,-3.442766889929771423e-02,9.973253011703491211e-01
