time (s),v_world_x,v_world_y,v_world_z,pos_world_x,pos_world_y,pos_world_z
71.978846,-0.5902387741665394,0.644804362998128,0.0,-5.075181516570933,1.3239104384848055,0.0
72.017158,-0.17071165672796965,0.7720261983611733,0.0,-5.089758283025145,1.3510512447181977,0.0
72.046824,0.07820715608930587,0.6213826151058078,0.0,-5.0911304022831185,1.3717196776483576,0.0
72.08514,0.17135189373805373,0.5307308008755445,0.0,-5.086349350006526,1.3937918664717253,0.0
72.12344,0.04971873550088704,0.552721714937687,0.0,-5.0821158474566,1.4145399821495523,0.0
72.153096,0.026125391412496573,0.6073247600213886,0.0,-5.080991230742728,1.4317411512802471,0.0
72.191404,0.049750925066471094,0.5524626580390856,0.0,-5.07953789577689,1.453955719485778,0.0
72.229696,-0.07279221543610097,0.6176865087475777,0.0,-5.079979044322307,1.4763593954330745,0.0
72.259383,-0.17349766513001919,0.6378044479360878,0.0,-5.08363484816449,1.4949952754486058,0.0
72.297691,-0.131779539510414,0.4959364272369444,0.0,-5.089482127742173,1.5167109481716705,0.0
72.336019,-0.05242755020175129,0.5044039890844226,0.0,-5.093012272409416,1.5358814719100495,0.0
72.365687,0.235557071770072,0.6796267066180557,0.0,-5.090295729086471,1.5534453832501007,0.0
72.404012,0.2980598461626917,0.533347024614036,0.0,-5.080070294896585,1.576688992374836,0.0
72.442315,0.563067489580527,0.593828757811144,0.0,-5.0635784147260985,1.5982760993719514,0.0
72.487743,0.20150476420040428,0.637807139680624,0.0,-5.046211920553718,1.62625147714758,0.0
72.542034,-0.3440455212354213,0.4968239744675159,0.0,-5.050081260673813,1.657051606056692,0.0
72.580415,-0.8542082427633404,0.45100833456182476,0.0,-5.073076349531831,1.67524098198312,0.0
72.610104,-0.7422535074097216,0.5103865996805765,0.0,-5.0967750259822795,1.6895124090844835,0.0
72.648438,-0.37883367414614555,0.40660856100588666,0.0,-5.118262903991156,1.7070884553293573,0.0
72.686733,0.04163866326052696,0.5493251426622457,0.0,-5.12471934546209,1.7253921959203453,0.0
72.716394,0.260780294493787,0.620882060698919,0.0,-5.120234321109116,1.7427469538497873,0.0
72.754687,0.0841867619716823,0.47425240756259857,0.0,-5.113629409362498,1.763714945946362,0.0
72.793001,-0.0271407810318321,0.389271170971036,0.0,-5.112536579505633,1.7802574671403306,0.0
72.822635,0.012153436564683916,0.5558339762870669,0.0,-5.112758646988603,1.7942610901072547,0.0
72.860938,-0.07267904984338582,0.49932790023739637,0.0,-5.11391780327131,1.8144690227855125,0.0
72.899246,-0.22134833898557724,0.44833936696412785,0.0,-5.11954960387694,1.8326206416214907,0.0
