time,height
154.529869,856.293000
154.636683,864.504000
154.743431,864.745000
154.850288,872.955000
154.973341,882.856000
155.080035,881.890000
155.209175,864.504000
155.316049,860.157000
155.422817,856.776000
155.532444,851.464000
155.651183,844.944000
155.757854,840.838000
155.864624,831.904000
155.971327,826.833000
156.078135,824.901000
156.202842,825.625000
156.321931,828.281000
156.428636,832.145000
156.535432,839.390000
156.642143,843.495000
156.748958,843.736000
156.856333,850.739000
156.976720,852.188000
157.083552,852.430000
157.190235,862.572000
157.297069,865.470000
157.403758,865.711000
157.524489,869.092000
157.645376,864.987000
157.752187,877.061000
157.859034,892.757000
157.965839,898.311000
158.087240,898.794000
158.194071,897.828000
158.316612,899.035000
158.423330,899.760000
158.530241,902.416000
158.636979,906.038000
158.761103,911.592000
158.883937,911.592000
158.990857,909.419000
159.097605,904.107000
159.204451,904.590000
159.311102,905.797000
159.427630,899.760000
159.550777,895.655000
159.670653,894.689000
159.777328,897.104000
159.884221,904.590000
159.991688,924.874000
160.110424,929.221000
160.229660,934.050000
160.339349,922.942000
160.446053,920.286000
160.552895,916.664000
160.659633,918.837000
160.766463,914.249000
160.899147,903.624000
161.005848,903.382000
161.112648,895.896000
161.229929,896.379000
161.336628,901.933000
161.443429,910.868000
161.569013,919.078000
161.689849,923.667000
161.807850,935.982000
161.914717,949.747000
162.021394,953.369000
162.150435,973.412000
162.257144,985.486000
162.379562,974.136000
162.486302,967.133000
162.593131,968.582000
162.699876,967.375000
162.806726,981.864000
162.913620,993.696000
163.036294,991.523000
163.143035,973.653000
163.249837,964.235000
163.356535,955.784000
163.479421,954.576000
163.586171,948.056000
163.709195,964.235000
163.816066,963.994000
163.922919,965.201000
164.038140,964.960000
164.144941,953.852000
164.251653,958.198000
164.370184,955.301000
164.500972,946.124000
164.616320,928.013000
164.722951,913.766000
164.829793,904.590000
164.946568,893.481000
165.065686,888.410000
165.172406,885.754000
165.279001,894.930000
165.399540,906.521000
165.506318,911.110000
165.612917,916.181000
165.730007,913.524000
165.836779,906.280000
165.957430,881.407000
166.064135,870.299000
166.170945,860.881000
166.277610,853.154000
166.410158,843.253000
166.516916,838.907000
166.623542,835.043000
166.730337,836.250000
166.852849,851.464000
166.959496,859.191000
167.066260,867.160000
167.177357,859.915000
167.299690,855.327000
167.406489,854.361000
167.513361,867.643000
167.620138,866.435000
167.727021,860.881000
167.853294,852.188000
167.976070,849.049000
168.082917,852.430000
168.189694,857.501000
168.302342,853.154000
168.415642,851.705000
168.522359,857.742000
168.660072,862.813000
168.766820,863.538000
168.882222,856.535000
169.005954,849.049000
169.112794,849.773000
169.219631,853.395000
169.326381,858.225000
169.457852,861.123000
169.571631,853.395000
169.678443,854.120000
169.795441,859.433000
169.902158,870.299000
170.008960,875.612000
170.143036,867.643000
170.249862,864.504000
170.356652,864.504000
170.463346,857.501000
170.570223,853.154000
170.676958,847.841000
170.805224,835.767000
170.926277,833.353000
171.033083,836.975000
171.155451,841.563000
171.262198,846.151000
171.371173,845.185000
171.493771,844.461000
171.600548,843.978000
171.717921,850.256000
171.824749,843.978000
171.947455,838.665000
172.054435,834.801000
172.177626,838.907000
172.284377,839.873000
172.391211,836.975000
172.498046,834.077000
172.615141,837.458000
172.722023,849.290000
172.840399,862.572000
172.958972,867.160000
173.065831,848.807000
173.172661,836.733000
173.287153,821.761000
173.393981,818.139000
173.512737,812.585000
173.619471,793.267000
173.726286,791.335000
173.833038,793.750000
173.952162,797.372000
174.058908,798.821000
174.179193,796.406000
174.286058,804.133000
174.392646,810.895000
174.499488,820.071000
174.607652,827.798000
174.714495,830.455000
174.835130,834.318000
174.941858,837.699000
175.048675,839.390000
175.169521,836.733000
175.276260,852.188000
175.383053,851.705000
175.504076,844.219000
175.610857,836.250000
175.717668,837.458000
175.824430,840.355000
175.933365,839.390000
176.040008,839.631000
176.162361,823.210000
176.269233,812.344000
176.391864,807.031000
176.506352,811.861000
176.613202,816.932000
176.719960,821.520000
176.852802,830.455000
176.959563,839.631000
177.082640,844.944000
177.189458,844.944000
177.296173,840.838000
177.414690,831.662000
177.533451,824.901000
177.640152,835.043000
177.757470,845.427000
177.864283,845.427000
177.983056,832.145000
178.089880,841.804000
178.253906,847.117000
178.360654,848.083000
178.467508,851.705000
178.574154,868.126000
178.681023,873.197000
178.787786,873.680000
178.908472,856.052000
179.015339,849.773000
179.122070,849.049000
179.244245,857.984000
179.351074,857.984000
179.457758,861.364000
179.578834,866.435000
179.685663,869.575000
179.792452,880.200000
179.899333,884.305000
180.006095,891.550000
180.128316,894.689000
180.235167,886.478000
180.341849,884.064000
180.448636,883.581000
180.571162,874.163000
180.677913,869.092000
180.784716,866.918000
180.907474,877.302000
181.014183,877.544000
181.129987,880.441000
181.236604,882.615000
181.343436,884.788000
181.467889,885.754000
181.586280,877.544000
181.693025,865.953000
181.799846,853.637000
181.906567,851.222000
182.013363,855.086000
182.120753,853.154000
182.247561,851.947000
182.354351,863.779000
182.473217,894.447000
182.579991,906.763000
182.686773,889.618000
182.793467,870.058000
182.900288,872.231000
183.019247,886.478000
183.125955,889.618000
183.232748,890.101000
183.339444,887.444000
183.446278,893.723000
183.572452,897.104000
183.693551,895.896000
183.814250,889.135000
183.921151,881.890000
184.027849,876.578000
184.144212,878.993000
184.251062,879.475000
184.372077,872.473000
184.494235,866.677000
184.601175,869.333000
184.707953,872.955000
184.814669,873.680000
184.928538,870.541000
185.051154,869.333000
185.157869,868.367000
185.264666,881.890000
185.371417,890.825000
185.478183,900.484000
185.601034,905.072000
185.724857,903.865000
185.831630,905.072000
185.938432,900.726000
186.050957,898.070000
186.166813,906.763000
186.285214,905.072000
186.392139,915.456000
186.513145,921.252000
186.619945,917.871000
186.726664,910.868000
186.833452,905.314000
186.940081,897.587000
187.046843,899.277000
187.158040,890.825000
187.289246,885.271000
187.410341,885.030000
187.517185,876.095000
187.626889,881.890000
187.735626,887.686000
187.842371,886.478000
187.972479,888.893000
188.079134,895.896000
188.200146,899.760000
188.313452,906.280000
188.420202,902.175000
188.527025,900.726000
188.644437,885.030000
188.765479,881.649000
188.887765,877.544000
188.994634,878.510000
189.101384,876.578000
189.208238,871.024000
189.315058,857.742000
189.437550,857.259000
189.552838,858.950000
189.659645,858.950000
189.782362,855.327000
189.889354,847.358000
190.012323,844.461000
190.119183,842.046000
190.225947,842.529000
190.344480,836.975000
190.461368,832.870000
190.568084,833.594000
190.686804,841.321000
190.805638,863.779000
190.912363,872.473000
191.028072,869.333000
191.134916,857.501000
191.253953,856.293000
191.360861,864.504000
191.467698,864.504000
191.574447,862.572000
191.696960,853.154000
191.817661,851.705000
191.924363,853.878000
192.031255,856.293000
192.137942,852.913000
192.244800,854.844000
192.374106,849.290000
192.480967,845.910000
192.587756,857.259000
192.708775,858.467000
192.815510,857.742000
192.937911,854.844000
193.044776,858.467000
193.151427,865.470000
193.269318,877.302000
193.376266,876.819000
193.498884,885.513000
193.621665,892.515000
193.728447,887.927000
193.835312,885.995000
193.942090,883.339000
194.065097,874.163000
194.171975,878.268000
194.278763,879.958000
194.385601,884.547000
194.492352,895.413000
194.610733,898.552000
194.717499,898.794000
194.824359,896.379000
194.943054,899.518000
